ID	DOCULECT	DOCULECT_OLD	CONCEPT	LANGID	VALUE	FORM	COG	TOKENS	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
779	Cebuano_outgroup	Cebuano	betel nut		bunga	bunga	betel nut-	b u n g a	227	b u n g a	1 7 4 1 7	AXMBZ	PYNKA	.P.C .Y.V .N.c .K.C .A.V	2.0 1.5 1.1 1.75 0.8	bunga	0	321	b u n g a
781	Wamesa	WAD	betel nut	30	sawu	sawu	betel nut-2	s a w u	229	s a w u	3 7 6 7	AXBZ	SAWY	30.S.C 30.A.V 30.W.C 30.Y.V	2.0 1.5 1.75 0.8	sawu	0	309	s a w u -
782	Ambai	Ambai	betel nut	31	aunai	aunai	betel nut-2	a u n a i	229	a u n a i	7 7 4 7 7	XYBYZ	AYNAI	31.A.V 31.Y.V 31.N.C 31.A.V 31.I.V	1.5 1.3 1.75 1.3 0.8	aunai	0	323	a u n a i
783	Ansus_PD	Ansus (P&D)	betel nut	33	awu	awu	betel nut-2	a w u	229	a w u	7 6 7	XBZ	AWY	33.A.V 33.W.C 33.Y.V	1.5 1.75 0.8	awu	0	309	- a w u -
784	Ansus_EG	Ansus (EG)	betel nut		awu	awu	betel nut-	a w u	227	a w u	7 6 7	XBZ	AWY	.A.V .W.C .Y.V	1.5 1.75 0.8	awu	0	309	- a w u -
785	Pom	Pom	betel nut		havui	havui	betel nut-	h a β u i	227	h a β u i	3 7 3 7 7	AXBYZ	HABYI	.H.C .A.V .B.C .Y.V .I.V	2.0 1.5 1.75 1.3 0.8	haβui	0	309	h a β u i
786	Serui_Laut	Serui-Laut (slump)	betel nut	53	anoai	anoai	betel nut-2	a n o a i	229	a n o a i	7 4 7 7 7	XBYYZ	ANUAI	53.A.V 53.N.C 53.U.V 53.A.V 53.I.V	1.5 1.75 1.3 1.3 0.8	anoai	0	315	a n o a i
787	Kurudu	KURUDU	betel nut	69	wen	wen	betel nut-	w e n	227	w e n	6 7 4	AXN	WEN	69.W.C 69.E.V 69.N.c	2.0 1.5 0.8	wen	0	319	w e n
788	Biak	Biak	betel nut	36	berén	berén	betel nut-36	b e r é n	231	b e r é n	1 7 5 7 4	AXBYN	PEREN	36.P.C 36.E.V 36.R.C 36.E.V 36.N.c	2.0 1.5 1.75 1.3 0.8	berén	0	312	b e r é n
789	Biak_Betew	Biak Betew (Mutus)	betel nut		beren	beren	betel nut-	b e r e n	227	b e r e n	1 7 5 7 4	AXBYN	PEREN	.P.C .E.V .R.C .E.V .N.c	2.0 1.5 1.75 1.3 0.8	beren	0	308	- - b e r e n
790	Biak_Numfor	Biak Numfoor (Mandori)	betel nut		ropum	ropum	betel nut-	r o p u m	227	r o p u m	5 7 1 7 4	AXBYN	RUPYM	.R.C .U.V .P.C .Y.V .M.c	2.0 1.5 1.75 1.3 0.8	ropum	0	308	- - r o p u m
791	Roswar	Roswar	betel nut	70	veren	veren	betel nut-	β e r e n	227	β e r e n	3 7 5 7 4	AXBYN	BEREN	70.B.C 70.E.V 70.R.C 70.E.V 70.N.c	2.0 1.5 1.75 1.3 0.8	βeren	0	312	β e r e n
792	Roon	Roon	betel nut		veren	veren	betel nut-	β e r e n	227	β e r e n	3 7 5 7 4	AXBYN	BEREN	.B.C .E.V .R.C .E.V .N.c	2.0 1.5 1.75 1.3 0.8	βeren	0	308	- - β e r e n
793	Biga	Biga (rem)	betel nut	37	gey	gey	betel nut-1	g e j	228	g e j	1 7 6	AXN	KEJ	37.K.C 37.E.V 37.J.c	2.0 1.5 0.8	gej	0	322	g e j
794	Kawe	Kawe (rem)	betel nut	44	macu	macu	betel nut-3	m a c u	230	m a c u	4 7 1 7	AXBZ	MACY	44.M.C 44.A.V 44.C.C 44.Y.V	2.0 1.5 1.75 0.8	macu	0	320	m a c u
795	Laganyan	Laganyan	betel nut	46	amcu	amcu	betel nut-3	a m c u	230	a m c u	7 4 1 7	XMBZ	AMCY	46.A.V 46.M.c 46.C.C 46.Y.V	1.5 1.1 1.75 0.8	amcu	0	310	- a m c u
796	Ambel	Ambel (rem)	betel nut	32	ɟey	ɟey	betel nut-1	ɟ e j	228	ɟ e j	1 7 6	AXN	CEJ	32.C.C 32.E.V 32.J.c	2.0 1.5 0.8	ɟej	0	313	ɟ e j
797	Matbat	Matbat	betel nut	47	mo⁴¹n	mo⁴¹n	betel nut-47	m ⁴¹/o n	232	m o n	4 7 4	AXN	MUN	47.M.C 47.U.V 47.N.c	2.0 1.5 0.8	mon	0	318	m ⁴¹/o n
798	Maya_Misool	Ma'ya Misool	betel nut	48	kamaʃu³	kamaʃu³	betel nut-3	k a m a ʃ ³/u	230	k a m a ʃ u	1 7 4 7 3 7	AXBYBZ	KAMASY	48.K.C 48.A.V 48.M.C 48.A.V 48.S.C 48.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	kamaʃu	0	317	k a m a ʃ ³/u
799	Maya_Salawati	Ma'ya Salawati	betel nut	49	kamʃu³	kamʃu³	betel nut-3	k a m ʃ ³/u	230	k a m ʃ u	1 7 4 3 7	AXMBZ	KAMSY	49.K.C 49.A.V 49.M.c 49.S.C 49.Y.V	2.0 1.5 1.1 1.75 0.8	kamʃu	0	310	k a m ʃ ³/u
800	Wauyai	Wauyai	betel nut	58	kamcu	kamcu	betel nut-3	k a m c u	230	k a m c u	1 7 4 1 7	AXMBZ	KAMCY	58.K.C 58.A.V 58.M.c 58.C.C 58.Y.V	2.0 1.5 1.1 1.75 0.8	kamcu	0	310	k a m c u
801	Umar	Umar	betel nut	55	hae	hae	betel nut-55	h a e	234	h a e	3 7 7	AXZ	HAE	55.H.C 55.A.V 55.E.V	2.0 1.5 0.8	hae	0	311	h a e
802	Yaur	Yaur	betel nut	59	dèríe	dèríe	betel nut-59	d è r í e	236	d è r í e	1 7 5 7 7	AXBYZ	TERIE	59.T.C 59.E.V 59.R.C 59.I.V 59.E.V	2.0 1.5 1.75 1.3 0.8	dèríe	0	314	d è r í e
803	Yerisiam	Yerisiam	betel nut	60	háù	háù	betel nut-2	h á ù	229	h á ù	3 7 7	AXZ	HAY	60.H.C 60.A.V 60.Y.V	2.0 1.5 0.8	háù	0	311	h á ù
804	Moor	Moor	betel nut	50	húra	húra	betel nut-50	h ú r a	233	h ú r a	3 7 5 7	AXBZ	HYRA	50.H.C 50.Y.V 50.R.C 50.A.V	2.0 1.5 1.75 0.8	húra	0	316	h ú r a
805	Warembori	Warembori	betel nut	56	dipi-ro	dipi-ro	betel nut-56	d i p i r o	235	d i p i r o	1 7 1 7 5 7	AXBYBZ	TIPIRU	56.T.C 56.I.V 56.P.C 56.I.V 56.R.C 56.U.V	2.0 1.5 1.75 1.3 1.75 0.8	dipiro	0	308	d i p i r o -
806	Cebuano_outgroup	Cebuano	big		daku'	daku'	big-22	d a k u ʔ	240	d a k u ʔ	1 7 1 7 1	AXBYN	TAKYH	.T.C .A.V .K.C .Y.V .H.c	2.0 1.5 1.75 1.3 0.8	dakuʔ	0	328	d a k u ʔ -
807	Wamesa	WAD	big	30	baba	baba	big-1	b a b a	238	b a b a	1 7 1 7	AXBZ	PAPA	30.P.C 30.A.V 30.P.C 30.A.V	2.0 1.5 1.75 0.8	baba	0	324	b a b a - -
808	Ambai	Ambai	big	31	baba	baba	big-1	b a b a	238	b a b a	1 7 1 7	AXBZ	PAPA	31.P.C 31.A.V 31.P.C 31.A.V	2.0 1.5 1.75 0.8	baba	0	324	b a b a - -
809	Ansus_PD	Ansus (P&D)	big	33	beba	beba	big-1	b e b a	238	b e b a	1 7 1 7	AXBZ	PEPA	33.P.C 33.E.V 33.P.C 33.A.V	2.0 1.5 1.75 0.8	beba	0	324	b e b a - -
810	Ansus_EG	Ansus (EG)	big		baba	baba	big-	b a b a	237	b a b a	1 7 1 7	AXBZ	PAPA	.P.C .A.V .P.C .A.V	2.0 1.5 1.75 0.8	baba	0	324	b a b a - -
811	Pom	Pom	big		vawa	vawa	big-	β a w a	237	β a w a	3 7 6 7	AXBZ	BAWA	.B.C .A.V .W.C .A.V	2.0 1.5 1.75 0.8	βawa	0	324	β a w a - -
812	Kurudu	KURUDU	big	69	kiba	kiba	big-	k i b a	237	k i b a	1 7 1 7	AXBZ	KIPA	69.K.C 69.I.V 69.P.C 69.A.V	2.0 1.5 1.75 0.8	kiba	0	324	k i b a - -
813	Biak	Biak	big	36	ba	ba	big-1	b a	238	b a	1 7	AX	PA	36.P.C 36.A.V	2.0 1.5	ba	0	324	- - b a - -
814	Biak_Betew	Biak Betew (Mutus)	big		iba	iba	big-	i b a	237	i b a	7 1 7	XBZ	IPA	.I.V .P.C .A.V	1.5 1.75 0.8	iba	1	324	- i b a - -
815	Biak_Numfor	Biak Numfoor (Mandori)	big		iba	iba	big-	i b a	237	i b a	7 1 7	XBZ	IPA	.I.V .P.C .A.V	1.5 1.75 0.8	iba	0	324	- i b a - -
816	Roswar	Roswar	big	70	ribwa	ribwa	big-	r i b w a	237	r i b w a	5 7 1 6 7	AXBCZ	RIPWA	70.R.C 70.I.V 70.P.C 70.W.C 70.A.V	2.0 1.5 1.75 1.5 0.8	ribwa	0	336	r i b w a
817	Roon	Roon	big		bua	bua	big-	b u a	237	b u a	1 7 7	AXZ	PYA	.P.C .Y.V .A.V	2.0 1.5 0.8	bua	0	324	b u - a - -
818	Dusner	Dusner	big	39	romansar, vua	romansar	big-39	r o m a n s a r	245	r o m a n s a r	5 7 4 7 4 3 7 5	AXBYMBYN	RUMANSAR	39.R.C 39.U.V 39.M.C 39.A.V 39.N.c 39.S.C 39.A.V 39.R.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	romansar	0	332	r o m a n s a r
819	Arguni	Arguni	big	34	matuʔen	matuʔen	big-34	m a t u ʔ e n	243	m a t u ʔ e n	4 7 1 7 1 7 4	AXBYBYN	MATYHEN	34.M.C 34.A.V 34.T.C 34.Y.V 34.H.C 34.E.V 34.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	matuʔen	0	329	m a t u ʔ e n
820	As	As (ABVD)	big	35	kandɔ	kandɔ	big-35	k a n d ɔ	244	k a n d ɔ	1 7 4 1 7	AXMBZ	KANTU	35.K.C 35.A.V 35.N.c 35.T.C 35.U.V	2.0 1.5 1.1 1.75 0.8	kandɔ	0	330	k a n d ɔ
821	Biga	Biga (rem)	big	37	paley	paley	big-3	p a l e j	241	p a l e j	1 7 5 7 6	AXBYN	PALEJ	37.P.C 37.A.V 37.L.C 37.E.V 37.J.c	2.0 1.5 1.75 1.3 0.8	palej	0	325	- p a l e j
822	Buli	Buli	big	38	mamagal	mamagal	big-4	m a m a g a l	246	m a m a g a l	4 7 4 7 1 7 5	AXBYBYN	MAMAKAL	38.M.C 38.A.V 38.M.C 38.A.V 38.K.C 38.A.V 38.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	mamagal	0	331	m a m a g a l
823	Fiawat	Fiawat (fiawat)	big	40	peley	peley	big-3	p e l e j	241	p e l e j	1 7 5 7 6	AXBYN	PELEJ	40.P.C 40.E.V 40.L.C 40.E.V 40.J.c	2.0 1.5 1.75 1.3 0.8	pelej	0	325	- p e l e j
824	Gane	Gane	big	41	loál	loál	big-2	l o á l	239	l o á l	5 7 7 5	AXYN	LUAL	41.L.C 41.U.V 41.A.V 41.L.c	2.0 1.5 1.3 0.8	loál	0	327	- - l o á l
825	Gebe	Gebe	big	42	pial	pial	big-3	p i a l	241	p i a l	1 7 7 5	AXYN	PIAL	42.P.C 42.I.V 42.A.V 42.L.c	2.0 1.5 1.3 0.8	pial	0	333	p i a l
826	Kawe	Kawe (rem)	big	44	paley	paley	big-3	p a l e j	241	p a l e j	1 7 5 7 6	AXBYN	PALEJ	44.P.C 44.A.V 44.L.C 44.E.V 44.J.c	2.0 1.5 1.75 1.3 0.8	palej	0	325	- p a l e j
827	Kowiai	Kowiai	big	45	nabéti, ruruwén	nabéti	big-45	n a b é t i	247	n a b é t i	4 7 1 7 1 7	AXBYBZ	NAPETI	45.N.C 45.A.V 45.P.C 45.E.V 45.T.C 45.I.V	2.0 1.5 1.75 1.3 1.75 0.8	nabéti	0	326	n a b é t i -
828	Laganyan	Laganyan	big	46	pale	pale	big-3	p a l e	241	p a l e	1 7 5 7	AXBZ	PALE	46.P.C 46.A.V 46.L.C 46.E.V	2.0 1.5 1.75 0.8	pale	0	325	- p a l e -
829	Irarutu	Irarutu (Mats)	big	43	nabade	nabade	big-1	n a b a d e	238	n a b a d e	4 7 1 7 1 7	AXBYBZ	NAPATE	43.N.C 43.A.V 43.P.C 43.A.V 43.T.C 43.E.V	2.0 1.5 1.75 1.3 1.75 0.8	nabade	0	326	n a b a d e -
830	Ambel	Ambel (rem)	big	32	anlal	anlal	big-32	a n l a l	242	a n l a l	7 4 5 7 5	XBCYN	ANLAL	32.A.V 32.N.C 32.L.C 32.A.V 32.L.c	1.5 1.75 1.5 1.3 0.8	anlal	0	327	a n l - a l
831	Matbat	Matbat	big	47	li¹w	li¹w	big-47	l i ¹ w	248	l i ¹ w	5 7 8 6	AXTN	LI6W	47.L.C 47.I.V 47.6.T 47.W.c	1.6 3.0 1.0 0.5	li¹w	1	334	l i ¹ w
832	Maya_Misool	Ma'ya Misool	big	48	pale³	pale³	big-3	p a l ³/e	241	p a l e	1 7 5 7	AXBZ	PALE	48.P.C 48.A.V 48.L.C 48.E.V	2.0 1.5 1.75 0.8	pale	0	325	- p a l ³/e -
833	Maya_Salawati	Ma'ya Salawati	big	49	pale³	pale³	big-3	p a l ³/e	241	p a l e	1 7 5 7	AXBZ	PALE	49.P.C 49.A.V 49.L.C 49.E.V	2.0 1.5 1.75 0.8	pale	0	325	- p a l ³/e -
834	Sawai	Sawai (CAD)	big	51	n-pɛlɔy	n-pɛlɔy	big-3	n p ɛ l ɔ j	241	n p ɛ l ɔ j	4 1 7 5 7 6	ACYBYN	NPELUJ	51.N.C 51.P.C 51.E.V 51.L.C 51.U.V 51.J.c	2.0 1.5 1.3 1.75 1.3 0.8	npɛlɔj	0	325	n p ɛ l ɔ j
835	Sekar	Sekar (ABVD)	big	52	mageːn	mageːn	big-4	m a g eː n	246	m a g eː n	4 7 1 7 4	AXBYN	MAKEN	52.M.C 52.A.V 52.K.C 52.E.V 52.N.c	2.0 1.5 1.75 1.3 0.8	mageːn	0	337	m a g eː n
836	Taba	Taba	big	54	bakan, lollol	bakan	big-1	b a k a n	238	b a k a n	1 7 1 7 4	AXBYN	PAKAN	54.P.C 54.A.V 54.K.C 54.A.V 54.N.c	2.0 1.5 1.75 1.3 0.8	bakan	0	324	b a k a n -
837	Taba	Taba	big	54	bakan, lollol	lollol	big-2	_ l o ll o l	239	_ l o ll o l	9 5 7 5 7 5	_AXBYN	_LULUL	54._._ 54.L.C 54.U.V 54.L.C 54.U.V 54.L.c	0.0 2.0 1.5 1.75 1.3 0.8	_lollol	0	338	_ l o ll o l
838	Wauyai	Wauyai	big	58	pale	pale	big-3	p a l e	241	p a l e	1 7 5 7	AXBZ	PALE	58.P.C 58.A.V 58.L.C 58.E.V	2.0 1.5 1.75 0.8	pale	0	325	- p a l e -
839	Waropen	Waropen (held)	big	57	bawa	bawa	big-1	b a w a	238	b a w a	1 7 6 7	AXBZ	PAWA	57.P.C 57.A.V 57.W.C 57.A.V	2.0 1.5 1.75 0.8	bawa	0	324	b a w a - -
840	Umar	Umar	big	55	kakora, knae	kakora	big-55	k a k o r a	250	k a k o r a	1 7 1 7 5 7	AXBYBZ	KAKURA	55.K.C 55.A.V 55.K.C 55.U.V 55.R.C 55.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kakora	0	328	k a k o r a
841	Yaur	Yaur	big	59	nébátúe, gójàagwè	nébátúe	big-1	n é b á t ú e	238	n é b á t ú e	4 7 1 7 1 7 7	AXBYBYZ	NEPATYE	59.N.C 59.E.V 59.P.C 59.A.V 59.T.C 59.Y.V 59.E.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	nébátúe	0	326	n é b á t ú e
842	Yerisiam	Yerisiam	big	60	òpó	òpó	big-60	ò p ó	252	ò p ó	7 1 7	XBZ	UPU	60.U.V 60.P.C 60.U.V	1.5 1.75 0.8	òpó	0	324	- ò p ó - -
843	Moor	Moor	big	50	emevà	emevà	big-50	e m e β à	249	e m e β à	7 4 7 3 7	XBYBZ	EMEBA	50.E.V 50.M.C 50.E.V 50.B.C 50.A.V	1.5 1.75 1.3 1.75 0.8	emeβà	0	335	e m e β à
844	Warembori	Warembori	big	56	pita-ro	pita-ro	big-56	p i t a r o	251	p i t a r o	1 7 1 7 5 7	AXBYBZ	PITARU	56.P.C 56.I.V 56.T.C 56.A.V 56.R.C 56.U.V	2.0 1.5 1.75 1.3 1.75 0.8	pitaro	0	324	p i t a r o
845	Wamesa	WAD	biji sirih	30	rema buo	rema buo	biji sirih-3	r e m a _ b u o	256	r e m a _ b u o	5 7 4 7 9 1 7 7	AXBZ_AXZ	REMA_PYU	30.R.C 30.E.V 30.M.C 30.A.V 30._._ 30.P.C 30.Y.V 30.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	rema_buo	0	341	r e m a - _ b u - o
846	Ambai	Ambai	biji sirih	31	rema	rema	biji sirih-3	r e m a	256	r e m a	5 7 4 7	AXBZ	REMA	31.R.C 31.E.V 31.M.C 31.A.V	2.0 1.5 1.75 0.8	rema	0	341	r e m a - - - - - -
847	Ansus_PD	Ansus (P&D)	biji sirih	33	rema	rema	biji sirih-3	r e m a	256	r e m a	5 7 4 7	AXBZ	REMA	33.R.C 33.E.V 33.M.C 33.A.V	2.0 1.5 1.75 0.8	rema	0	341	r e m a - - - - - -
848	Ansus_EG	Ansus (EG)	biji sirih		rema boŋ	rema boŋ	biji sirih-	r e m a _ b o ŋ	253	r e m a _ b o ŋ	5 7 4 7 9 1 7 4	AXBZ_AXN	REMA_PUN	.R.C .E.V .M.C .A.V ._._ .P.C .U.V .N.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	rema_boŋ	0	341	r e m a - _ b o ŋ -
849	Pom	Pom	biji sirih		niaimo	niaimo	biji sirih-	n i a i m o	253	n i a i m o	4 7 7 7 4 7	AXYYBZ	NIAIMU	.N.C .I.V .A.V .I.V .M.C .U.V	2.0 1.5 1.3 1.3 1.75 0.8	niaimo	0	343	n i a i m o
850	Serui_Laut	Serui-Laut (slump)	biji sirih	53	remah	remah	biji sirih-3	r e m a h	256	r e m a h	5 7 4 7 3	AXBYN	REMAH	53.R.C 53.E.V 53.M.C 53.A.V 53.H.c	2.0 1.5 1.75 1.3 0.8	remah	0	341	r e m a h - - - - -
851	Biak	Biak	biji sirih	36	nān	nān	biji sirih-1	n ā n	254	n ā n	4 7 4	AXN	NAN	36.N.C 36.A.V 36.N.c	2.0 1.5 0.8	nān	0	340	n - - - - - ā n - -
852	Roon	Roon	biji sirih		nian	nian	biji sirih-	n i a n	253	n i a n	4 7 7 4	AXYN	NIAN	.N.C .I.V .A.V .N.c	2.0 1.5 1.3 0.8	nian	0	340	n - - - - i a n - -
853	Biga	Biga (rem)	biji sirih	37	utum	utum	biji sirih-2	u t u m	255	u t u m	7 1 7 4	XBYN	YTYM	37.Y.V 37.T.C 37.Y.V 37.M.c	1.5 1.75 1.3 0.8	utum	0	342	- u t u m
854	Fiawat	Fiawat (fiawat)	biji sirih	40	wotum	wotum	biji sirih-2	w o t u m	255	w o t u m	6 7 1 7 4	AXBYN	WUTYM	40.W.C 40.U.V 40.T.C 40.Y.V 40.M.c	2.0 1.5 1.75 1.3 0.8	wotum	0	342	w o t u m
855	Kawe	Kawe (rem)	biji sirih	44	nyana	nyana	biji sirih-1	n j a n a	254	n j a n a	4 6 7 4 7	ACXBZ	NJANA	44.N.C 44.J.C 44.A.V 44.N.C 44.A.V	2.0 1.5 1.5 1.75 0.8	njana	0	339	n j a n a
856	Laganyan	Laganyan	biji sirih	46	nyana	nyana	biji sirih-1	n j a n a	254	n j a n a	4 6 7 4 7	ACXBZ	NJANA	46.N.C 46.J.C 46.A.V 46.N.C 46.A.V	2.0 1.5 1.5 1.75 0.8	njana	0	339	n j a n a
857	Ambel	Ambel (rem)	biji sirih	32	nyan	nyan	biji sirih-1	n j a n	254	n j a n	4 6 7 4	ACXN	NJAN	32.N.C 32.J.C 32.A.V 32.N.c	2.0 1.5 1.5 0.8	njan	0	339	n j a n -
858	Matbat	Matbat	biji sirih	47	na¹n	na¹n	biji sirih-1	n ¹/a n	254	n a n	4 7 4	AXN	NAN	47.N.C 47.A.V 47.N.c	2.0 1.5 0.8	nan	1	340	n - - - - - ¹/a n - -
859	Maya_Misool	Ma'ya Misool	biji sirih	48	nyana¹²	nyana¹²	biji sirih-1	n j a n ¹²/a	254	n j a n a	4 6 7 4 7	ACXBZ	NJANA	48.N.C 48.J.C 48.A.V 48.N.C 48.A.V	2.0 1.5 1.5 1.75 0.8	njana	0	339	n j a n ¹²/a
860	Maya_Salawati	Ma'ya Salawati	biji sirih	49	nya¹²n	nya¹²n	biji sirih-1	n j ¹²/a n	254	n j a n	4 6 7 4	ACXN	NJAN	49.N.C 49.J.C 49.A.V 49.N.c	2.0 1.5 1.5 0.8	njan	0	339	n j ¹²/a n -
861	Wauyai	Wauyai	biji sirih	58	nyana	nyana	biji sirih-1	n j a n a	254	n j a n a	4 6 7 4 7	ACXBZ	NJANA	58.N.C 58.J.C 58.A.V 58.N.C 58.A.V	2.0 1.5 1.5 1.75 0.8	njana	0	339	n j a n a
862	Umar	Umar	biji sirih	55	nian	nian	biji sirih-1	n i a n	254	n i a n	4 7 7 4	AXYN	NIAN	55.N.C 55.I.V 55.A.V 55.N.c	2.0 1.5 1.3 0.8	nian	0	340	n - - - - i a n - -
863	Yaur	Yaur	biji sirih	59	òdrògré	òdrògré	biji sirih-59	ò d r ò g r é	257	ò d r ò g r é	7 1 5 7 1 5 7	XBCYBCZ	UTRUKRE	59.U.V 59.T.C 59.R.C 59.U.V 59.K.C 59.R.C 59.E.V	1.5 1.75 1.5 1.3 1.75 1.5 0.8	òdrògré	0	344	ò d r ò g r é
864	Yerisiam	Yerisiam	biji sirih	60	náríníànà	náríníànà	biji sirih-1	n á r í n í à n à	254	n á r í n í à n à	4 7 5 7 4 7 7 4 7	AXBYBYYBZ	NARINIANA	60.N.C 60.A.V 60.R.C 60.I.V 60.N.C 60.I.V 60.A.V 60.N.C 60.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.3 1.75 0.8	náríníànà	0	340	n á r í n í à n - à
865	Moor	Moor	biji sirih	50	inána	inána	biji sirih-1	i n á n a	254	i n á n a	7 4 7 4 7	XBYBZ	INANA	50.I.V 50.N.C 50.A.V 50.N.C 50.A.V	1.5 1.75 1.3 1.75 0.8	inána	0	340	- - - i n - á n - a
866	Warembori	Warembori	biji sirih	56	nan-do	nan-do	biji sirih-1	n a n d o	254	n a n d o	4 7 4 1 7	AXMBZ	NANTU	56.N.C 56.A.V 56.N.c 56.T.C 56.U.V	2.0 1.5 1.1 1.75 0.8	nando	1	340	n - - - - - a n d o
867	Cebuano_outgroup	Cebuano	bird		lánggam	lánggam	bird-72	l á ŋ g a m	264	l á ŋ g a m	5 7 4 1 7 4	AXMBYN	LANKAM	.L.C .A.V .N.c .K.C .A.V .M.c	2.0 1.5 1.1 1.75 1.3 0.8	láŋgam	0	347	- - l á ŋ g a m
871	Wamesa	WAD	bird	30	aya	aya	bird-1	a j a	259	a j a	7 6 7	XBZ	AJA	30.A.V 30.J.C 30.A.V	1.5 1.75 0.8	aja	0	346	a j a
872	Ambai	Ambai	bird	31	man	man	bird-2	m a n	260	m a n	4 7 4	AXN	MAN	31.M.C 31.A.V 31.N.c	2.0 1.5 0.8	man	0	345	m a - n - - -
873	Ansus_PD	Ansus (P&D)	bird	33	aya	aya	bird-1	a j a	259	a j a	7 6 7	XBZ	AJA	33.A.V 33.J.C 33.A.V	1.5 1.75 0.8	aja	0	346	a j a
874	Ansus_EG	Ansus (EG)	bird		aya	aya	bird-	a j a	258	a j a	7 6 7	XBZ	AJA	.A.V .J.C .A.V	1.5 1.75 0.8	aja	0	346	a j a
875	Pom	Pom	bird		andowa	andowa	bird-	a n d o w a	258	a n d o w a	7 4 1 7 6 7	XMBYBZ	ANTUWA	.A.V .N.c .T.C .U.V .W.C .A.V	1.5 1.1 1.75 1.3 1.75 0.8	andowa	0	352	a n d o w a
876	Serui_Laut	Serui-Laut (slump)	bird	53	aya	aya	bird-1	a j a	259	a j a	7 6 7	XBZ	AJA	53.A.V 53.J.C 53.A.V	1.5 1.75 0.8	aja	0	346	a j a
877	Kurudu	KURUDU	bird	69	diu	diu	bird-	d i u	258	d i u	1 7 7	AXZ	TIY	69.T.C 69.I.V 69.Y.V	2.0 1.5 0.8	diu	0	350	d i u
878	Biak	Biak	bird	36	man	man	bird-2	m a n	260	m a n	4 7 4	AXN	MAN	36.M.C 36.A.V 36.N.c	2.0 1.5 0.8	man	0	345	m a - n - - -
879	Biak_Betew	Biak Betew (Mutus)	bird		man	man	bird-	m a n	258	m a n	4 7 4	AXN	MAN	.M.C .A.V .N.c	2.0 1.5 0.8	man	0	345	m a - n - - -
880	Biak_Numfor	Biak Numfoor (Mandori)	bird		man	man	bird-	m a n	258	m a n	4 7 4	AXN	MAN	.M.C .A.V .N.c	2.0 1.5 0.8	man	0	345	m a - n - - -
881	Roswar	Roswar	bird	70	man	man	bird-	m a n	258	m a n	4 7 4	AXN	MAN	70.M.C 70.A.V 70.N.c	2.0 1.5 0.8	man	0	345	m a - n - - -
882	Roon	Roon	bird		man	man	bird-	m a n	258	m a n	4 7 4	AXN	MAN	.M.C .A.V .N.c	2.0 1.5 0.8	man	0	345	m a - n - - -
883	Arguni	Arguni	bird	34	mani	mani	bird-2	m a n i	260	m a n i	4 7 4 7	AXBZ	MANI	34.M.C 34.A.V 34.N.C 34.I.V	2.0 1.5 1.75 0.8	mani	0	345	m a - n i - -
884	As	As (ABVD)	bird	35	mani	mani	bird-2	m a n i	260	m a n i	4 7 4 7	AXBZ	MANI	35.M.C 35.A.V 35.N.C 35.I.V	2.0 1.5 1.75 0.8	mani	0	345	m a - n i - -
885	Biga	Biga (rem)	bird	37	mini	mini	bird-2	m i n i	260	m i n i	4 7 4 7	AXBZ	MINI	37.M.C 37.I.V 37.N.C 37.I.V	2.0 1.5 1.75 0.8	mini	0	345	m i - n i - -
886	Buli	Buli	bird	38	mani	mani	bird-2	m a n i	260	m a n i	4 7 4 7	AXBZ	MANI	38.M.C 38.A.V 38.N.C 38.I.V	2.0 1.5 1.75 0.8	mani	0	345	m a - n i - -
887	Fiawat	Fiawat (fiawat)	bird	40	min	min	bird-2	m i n	260	m i n	4 7 4	AXN	MIN	40.M.C 40.I.V 40.N.c	2.0 1.5 0.8	min	0	345	m i - n - - -
888	Gane	Gane	bird	41	manik	manik	bird-2	m a n i k	260	m a n i k	4 7 4 7 1	AXBYN	MANIK	41.M.C 41.A.V 41.N.C 41.I.V 41.K.c	2.0 1.5 1.75 1.3 0.8	manik	0	345	m a - n i k -
889	Gebe	Gebe	bird	42	mnai	mnai	bird-2	m n a i	260	m n a i	4 4 7 7	ACYZ	MNAI	42.M.C 42.N.C 42.A.V 42.I.V	2.0 1.5 1.3 0.8	mnai	0	348	m n a i
890	Kawe	Kawe (rem)	bird	44	ta pyopo	ta pyopo	bird-44	t a _ p j o p o	261	t a _ p j o p o	1 7 9 1 6 7 1 7	AX_ACXBZ	TA_PJUPU	44.T.C 44.A.V 44._._ 44.P.C 44.J.C 44.U.V 44.P.C 44.U.V	2.0 1.5 0.0 2.0 1.5 1.5 1.75 0.8	ta_pjopo	0	349	t a _ p j o p o
