Grapheme	FREQUENCY	IPA	UNICODE	NOTE
'u	10	ʔ u	U+0027 U+0075	
'ú	5	ʔ ú	U+0027 U+00fa	
'ù	2	ʔ ù	U+0027 U+00f9	
ʔw	1	ʔ w	U+0294 U+0077	
β	2	β	U+03b2	
a12		¹²/a		
a21		²¹/a		
a121		¹²¹/a		
a31		³¹/a		
a41		⁴¹/a		
a3		³/a		
a5		⁵/a		
a¹²		¹²/a		
a²¹		²¹/a		
a¹²¹		¹²¹/a		
a³¹		³¹/a		
a⁴¹		⁴¹/a		
a³		³/a		
a⁵		⁵/a		
e12		¹²/e		
e21		²¹/e		
e121		¹²¹/e		
e31		³¹/e		
e41		⁴¹/e		
e3		³/e		
e5		⁵/e		
e¹²		¹²/e		
e²¹		²¹/e		
e¹²¹		¹²¹/e		
e³¹		³¹/e		
e⁴¹		⁴¹/e		
e³		³/e		
e⁵		⁵/e		
i12		¹²/i		
i21		²¹/i		
i121		¹²¹/i		
i31		³¹/i		
i41		⁴¹/i		
i3		³/i		
i5		⁵/i		
i¹²		¹²/i		
i²¹		²¹/i		
i¹²¹		¹²¹/i		
i³¹		³¹/i		
i⁴¹		⁴¹/i		
i³		³/i		
i⁵		⁵/i		
o12		¹²/o		
o21		²¹/o		
o121		¹²¹/o		
o31		³¹/o		
o41		⁴¹/o		
o3		³/o		
o5		⁵/o		
o¹²		¹²/o		
o²¹		²¹/o		
o¹²¹		¹²¹/o		
o³¹		³¹/o		
o⁴¹		⁴¹/o		
o³		³/o		
o⁵		⁵/o		
u12		¹²/u		
u21		²¹/u		
u121		¹²¹/u		
u31		³¹/u		
u41		⁴¹/u		
u3		³/u		
u5		⁵/u		
u¹²		¹²/u		
u²¹		²¹/u		
u¹²¹		¹²¹/u		
u³¹		³¹/u		
u⁴¹		⁴¹/u		
u³		³/u		
u⁵		⁵/u		
ɛ12		¹²/ɛ		
ɛ21		²¹/ɛ		
ɛ121		¹²¹/ɛ		
ɛ31		³¹/ɛ		
ɛ41		⁴¹/ɛ		
ɛ3		³/ɛ		
ɛ5		⁵/ɛ		
ɛ¹²		¹²/ɛ		
ɛ²¹		²¹/ɛ		
ɛ¹²¹		¹²¹/ɛ		
ɛ³¹		³¹/ɛ		
ɛ⁴¹		⁴¹/ɛ		
ɛ³		³/ɛ		
ɛ⁵		⁵/ɛ		
ɔ12		¹²/ɔ		
ɔ21		²¹/ɔ		
ɔ121		¹²¹/ɔ		
ɔ31		³¹/ɔ		
ɔ41		⁴¹/ɔ		
ɔ3		³/ɔ		
ɔ5		⁵/ɔ		
ɔ¹²		¹²/ɔ		
ɔ²¹		²¹/ɔ		
ɔ¹²¹		¹²¹/ɔ		
ɔ³¹		³¹/ɔ		
ɔ⁴¹		⁴¹/ɔ		
ɔ³		³/ɔ		
ɔ⁵		⁵/ɔ		
ɔ¹2		¹²/ɔ		
a1		¹/a		
a¹		¹/a		
u¹		¹/u		
e¹		¹/e		
