ID	DOCULECT	CONCEPT	LANGID	VALUE	FORM	COG	COGID	TOKENS
1	PCEMP	1pl incl	67	k-ita	k-ita	1pl incl-1	2	k i t a
2	PMP	1pl incl	68	kita	kita	1pl incl-1	2	k i t a
3	WAD	1pl incl	30	tata	tata	1pl incl-1	2	t a t a
4	Ambai	1pl incl	31	tata	tata	1pl incl-1	2	t a t a
5	Ansus (P&D)	1pl incl	33	tata	tata	1pl incl-1	2	t a t a
6	Pom	1pl incl		tatoru	tatoru	1pl incl-	1	t a t o r u
7	Serui-Laut (slump)	1pl incl	53	tata	tata	1pl incl-1	2	t a t a
8	KURUDU	1pl incl	69	ami	ami	1pl incl-	1	a m i
9	Biak	1pl incl	36	ko	ko	1pl incl-1	2	k o
10	Biak Betew (Mutus)	1pl incl		ko	ko	1pl incl-	1	k o
11	Biak Numfoor (Mandori)	1pl incl		ko	ko	1pl incl-	1	k o
12	Roswar	1pl incl	70	kon?	kon?	1pl incl-	1	k o n ?
13	Roon	1pl incl		kon	kon	1pl incl-	1	k o n
14	Dusner	1pl incl	39	ndoen	ndoen	1pl incl-39	5	n d o e n
15	Arguni	1pl incl	34	ite	ite	1pl incl-1	2	i t e
16	As (ABVD)	1pl incl	35	ti	ti	1pl incl-35	4	t i
17	Biga (rem)	1pl incl	37	itba	itba	1pl incl-1	2	i t b a
18	Buli	1pl incl	38	ite	ite	1pl incl-1	2	i t e
19	Fiawat (fiawat)	1pl incl	40	atne	atne	1pl incl-2	3	a t n e
20	Gane	1pl incl	41	kit	kit	1pl incl-1	2	k i t
21	Gebe	1pl incl	42	itne	itne	1pl incl-1	2	i t n e
22	Kawe (rem)	1pl incl	44	ta'fat(a), tit(n)e	ta'fat(a)	1pl incl-1	2	t a 'f a t ( a )
23	Kowiai	1pl incl	45	íta	íta	1pl incl-1	2	í t a
24	Laganyan	1pl incl	46	itne	itne	1pl incl-1	2	i t n e
25	Irarutu (Mats)	1pl incl	43	it	it	1pl incl-1	2	i t
26	Ambel (rem)	1pl incl	32	isne	isne	1pl incl-1	2	i s n e
27	Matbat	1pl incl	47	ya¹²t	ya¹²t	1pl incl-2	3	y a ¹² t
28	Ma'ya Misool	1pl incl	48	akne	akne	1pl incl-2	3	a k n e
29	Ma'ya Salawati	1pl incl	49	akne	akne	1pl incl-2	3	a k n e
30	Sawai (CAD)	1pl incl	51	it	it	1pl incl-1	2	i t
31	Sekar (ABVD)	1pl incl	52	ita	ita	1pl incl-1	2	i t a
32	Taba	1pl incl	54	tit	tit	1pl incl-1	2	t i t
33	Wauyai	1pl incl	58	titne	titne	1pl incl-1	2	t i t n e
34	Waropen (held)	1pl incl	57	iko	iko	1pl incl-1	2	i k o
35	Umar	1pl incl	55	ete	ete	1pl incl-1	2	e t e
36	Yaur	1pl incl	59	o'	o'	1pl incl-1	2	o '
37	Yerisiam	1pl incl	60	néeké	néeké	1pl incl-1	2	n é e k é
38	Moor	1pl incl	50	í'a	í'a	1pl incl-1	2	í 'a
39	Warembori	1pl incl	56	ki	ki	1pl incl-1	2	k i
40	PCEMP	1plexcl	67	kami	kami	1plexcl-1	7	k a m i
41	PMP	1plexcl	68	kami	kami	1plexcl-1	7	k a m i
42	WAD	1plexcl	30	ama-	ama-	1plexcl-1	7	a m a
43	Ambai	1plexcl	31	amea	amea	1plexcl-1	7	a m e a
44	Ansus (P&D)	1plexcl	33	ama	ama	1plexcl-1	7	a m a
45	Serui-Laut (slump)	1plexcl	53	ama	ama	1plexcl-1	7	a m a
46	KURUDU	1plexcl	69	nami	nami	1plexcl-	6	n a m i
47	Biak Betew (Mutus)	1plexcl		nko	nko	1plexcl-	6	n k o
48	Biak Numfoor (Mandori)	1plexcl		inggo	inggo	1plexcl-	6	i n gg o
49	Roswar	1plexcl	70	kon?	kon?	1plexcl-	6	k o n ?
50	Roon	1plexcl		nggon	nggon	1plexcl-	6	n gg o n
51	Dusner	1plexcl	39	toen	toen	1plexcl-39	9	t o e n
52	Arguni	1plexcl	34	ambami	ambami	1plexcl-1	7	a m b a m i
53	As (ABVD)	1plexcl	35	am|ne	am|ne	1plexcl-1	7	a m| n e
54	Biga (rem)	1plexcl	37	ambana, amon	ambana	1plexcl-1	7	a m b a n a
55	Biga (rem)	1plexcl	37	ambana, amon	amon	1plexcl-2	8	a m o n
56	Buli	1plexcl	38	ame	ame	1plexcl-1	7	a m e
57	Fiawat (fiawat)	1plexcl	40	ame	ame	1plexcl-1	7	a m e
58	Gane	1plexcl	41	am(e)	am(e)	1plexcl-1	7	a m ( e )
59	Gebe	1plexcl	42	amne	amne	1plexcl-1	7	a m n e
60	Kawe (rem)	1plexcl	44	amfata, am(n)e	amfata	1plexcl-1	7	a m f a t a
61	Kawe (rem)	1plexcl	44	amfata, am(n)e	am(n)e	1plexcl-2	8	a m ( n ) e
62	Kowiai	1plexcl	45	am	am	1plexcl-1	7	a m
63	Laganyan	1plexcl	46	amne	amne	1plexcl-1	7	a m n e
64	Irarutu (Mats)	1plexcl	43	am	am	1plexcl-1	7	a m
65	Ambel (rem)	1plexcl	32	amne	amne	1plexcl-1	7	a m n e
66	Matbat	1plexcl	47	ya²¹m	ya²¹m	1plexcl-1	7	y a ²¹ m
67	Ma'ya Misool	1plexcl	48	amne	amne	1plexcl-1	7	a m n e
68	Ma'ya Salawati	1plexcl	49	amne	amne	1plexcl-1	7	a m n e
69	Sawai (CAD)	1plexcl	51	am	am	1plexcl-1	7	a m
70	Sekar (ABVD)	1plexcl	52	yami	yami	1plexcl-1	7	y a m i
71	Taba	1plexcl	54	am	am	1plexcl-1	7	a m
72	Wauyai	1plexcl	58	amfata	amfata	1plexcl-2	8	a m f a t a
73	Waropen (held)	1plexcl	57	ami, amo	ami	1plexcl-1	7	a m i
74	Umar	1plexcl	55	em(i)	em(i)	1plexcl-1	7	e m ( i )
75	Yaur	1plexcl	59	om(í'é)	om(í'é)	1plexcl-1	7	o m ( í 'é )
76	Yerisiam	1plexcl	60	nem, néemé	nem	1plexcl-1	7	n e m
77	Moor	1plexcl	50	áma	áma	1plexcl-1	7	á m a
78	Warembori	1plexcl	56	ami	ami	1plexcl-1	7	a m i
79	PCEMP	1sg	67	i-aku	i-aku	1sg-1	11	i a k u
80	PMP	1sg	68	i-aku	i-aku	1sg-1	11	i a k u
81	WAD	1sg	30	yau	yau	1sg-1	11	y a u
82	Ambai	1sg	31	yau	yau	1sg-1	11	y a u
83	Ansus (P&D)	1sg	33	yau	yau	1sg-1	11	y a u
84	Ansus (EG)	1sg		yau	yau	1sg-	10	y a u
85	Pom	1sg		yau	yau	1sg-	10	y a u
86	Serui-Laut (slump)	1sg	53	yau	yau	1sg-1	11	y a u
87	KURUDU	1sg	69	aya	aya	1sg-	10	a y a
88	Biak	1sg	36	yai	yai	1sg-1	11	y a i
89	Biak Betew (Mutus)	1sg		aya	aya	1sg-	10	a y a
90	Biak Numfoor (Mandori)	1sg		aya	aya	1sg-	10	a y a
91	Roswar	1sg	70	aya	aya	1sg-	10	a y a
92	Roon	1sg		ya	ya	1sg-	10	y a
93	Dusner	1sg	39	ya	ya	1sg-1	11	y a
94	Arguni	1sg	34	embie	embie	1sg-2	12	e m b i e
95	As (ABVD)	1sg	35	anɛ	anɛ	1sg-2	12	a n ɛ
96	Biga (rem)	1sg	37	ini	ini	1sg-2	12	i n i
97	Buli	1sg	38	ya	ya	1sg-1	11	y a
98	Fiawat (fiawat)	1sg	40	ine	ine	1sg-2	12	i n e
99	Gane	1sg	41	yak	yak	1sg-1	11	y a k
100	Gebe	1sg	42	ane	ane	1sg-2	12	a n e
101	Kawe (rem)	1sg	44	yene	yene	1sg-2	12	y e n e
102	Kowiai	1sg	45	laʔ	laʔ	1sg-1	11	l a ʔ
103	Laganyan	1sg	46	yene	yene	1sg-2	12	y e n e
104	Irarutu (Mats)	1sg	43	já	já	1sg-1	11	j á
105	Ambel (rem)	1sg	32	yene	yene	1sg-2	12	y e n e
106	Matbat	1sg	47	ya²¹k(a)	ya²¹k(a)	1sg-1	11	y a ²¹ k ( a )
107	Ma'ya Misool	1sg	48	ene	ene	1sg-2	12	e n e
108	Ma'ya Salawati	1sg	49	ene	ene	1sg-2	12	e n e
109	Sawai (CAD)	1sg	51	ya	ya	1sg-1	11	y a
110	Sekar (ABVD)	1sg	52	yai	yai	1sg-1	11	y a i
111	Taba	1sg	54	yak	yak	1sg-1	11	y a k
112	Wauyai	1sg	58	yene	yene	1sg-2	12	y e n e
113	Waropen (held)	1sg	57	ra, ya	ra	1sg-1	11	r a
114	Umar	1sg	55	e, ene	e	1sg-1	11	e
115	Umar	1sg	55	e, ene	ene	1sg-2	12	e n e
116	Yaur	1sg	59	ìgwá, ne	ìgwá	1sg-1	11	ì g w á
117	Yaur	1sg	59	ìgwá, ne	ne	1sg-2	12	n e
118	Yerisiam	1sg	60	né	né	1sg-2	12	n é
119	Moor	1sg	50	ígwa	ígwa	1sg-1	11	í g w a
120	Warembori	1sg	56	iwi	iwi	1sg-1	11	i w i
121	PCEMP	2pl	67	kamiu	kamiu	2pl-1	14	k a m i u
122	PMP	2pl	68	kam(i)u	kam(i)u	2pl-1	14	k a m ( i ) u
123	WAD	2pl	30	mia	mia	2pl-1	14	m i a
124	Ambai	2pl	31	mea	mea	2pl-1	14	m e a
125	Ansus (P&D)	2pl	33	mia	mia	2pl-1	14	m i a
126	Pom	2pl		mintoru	mintoru	2pl-	13	m i n t o r u
127	Serui-Laut (slump)	2pl	53	ma	ma	2pl-1	14	m a
128	KURUDU	2pl	69	awati	awati	2pl-	13	a w a t i
129	Biak Betew (Mutus)	2pl		mko	mko	2pl-	13	m k o
130	Biak Numfoor (Mandori)	2pl		mgo	mgo	2pl-	13	m g o
131	Roswar	2pl	70	mkon	mkon	2pl-	13	m k o n
132	Roon	2pl		mokon	mokon	2pl-	13	m o k o n
133	Dusner	2pl	39	mtoen	mtoen	2pl-39	15	m t o e n
134	Arguni	2pl	34	mbu|amu	mbu|amu	2pl-1	14	m b u| a m u
135	As (ABVD)	2pl	35	mɔu	mɔu	2pl-1	14	m ɔ u
136	Buli	2pl	38	meu	meu	2pl-1	14	m e u
137	Gane	2pl	41	meu	meu	2pl-1	14	m e u
138	Gebe	2pl	42	mevia	mevia	2pl-1	14	m e v i a
139	Ambel (rem)	2pl	32	mewa	mewa	2pl-1	14	m e w a
140	Matbat	2pl	47	mi²¹n(a)	mi²¹n(a)	2pl-1	14	m i ²¹ n ( a )
141	Ma'ya Salawati	2pl	49	mi	mi	2pl-1	14	m i
142	Sawai (CAD)	2pl	51	mew	mew	2pl-1	14	m e w
143	Sekar (ABVD)	2pl	52	imi	imi	2pl-1	14	i m i
144	Taba	2pl	54	meu	meu	2pl-1	14	m e u
145	Waropen (held)	2pl	57	mu	mu	2pl-1	14	m u
146	Umar	2pl	55	amu	amu	2pl-1	14	a m u
147	Yaur	2pl	59	ámú'è	ámú'è	2pl-1	14	á m ú 'è
148	Yerisiam	2pl	60	ánéemé	ánéemé	2pl-1	14	á n é e m é
149	Moor	2pl	50	amù, mu'ó	amù	2pl-1	14	a m ù
150	Warembori	2pl	56	mi	mi	2pl-1	14	m i
151	PCEMP	2sg	67	i-kau	i-kau	2sg-1	17	i k a u
152	PMP	2sg	68	i-kahu	i-kahu	2sg-1	17	i k a h u
153	WAD	2sg	30	au	au	2sg-1	17	a u
154	Ambai	2sg	31	wau	wau	2sg-1	17	w a u
155	Ansus (P&D)	2sg	33	au	au	2sg-1	17	a u
156	Ansus (EG)	2sg		au	au	2sg-	16	a u
157	Pom	2sg		au	au	2sg-	16	a u
158	Serui-Laut (slump)	2sg	53	wau	wau	2sg-1	17	w a u
159	KURUDU	2sg	69	awa	awa	2sg-	16	a w a
160	Biak	2sg	36	au	au	2sg-1	17	a u
161	Biak Betew (Mutus)	2sg		au	au	2sg-	16	a u
162	Biak Numfoor (Mandori)	2sg		au	au	2sg-	16	a u
163	Roswar	2sg	70	au	au	2sg-	16	a u
164	Roon	2sg		aw	aw	2sg-	16	a w
165	Dusner	2sg	39	au	au	2sg-1	17	a u
166	As (ABVD)	2sg	35	awa	awa	2sg-1	17	a w a
167	Biga (rem)	2sg	37	awa	awa	2sg-1	17	a w a
168	Buli	2sg	38	au	au	2sg-1	17	a u
169	Fiawat (fiawat)	2sg	40	aw	aw	2sg-1	17	a w
170	Gane	2sg	41	au	au	2sg-1	17	a u
171	Gebe	2sg	42	auya	auya	2sg-1	17	a u y a
172	Kawe (rem)	2sg	44	wawa	wawa	2sg-1	17	w a w a
173	Kowiai	2sg	45	au, o	au	2sg-1	17	a u
174	Laganyan	2sg	46	awa	awa	2sg-1	17	a w a
175	Irarutu (Mats)	2sg	43	ó	ó	2sg-1	17	ó
176	Ambel (rem)	2sg	32	awa	awa	2sg-1	17	a w a
177	Matbat	2sg	47	ya²¹w	ya²¹w	2sg-1	17	y a ²¹ w
178	Ma'ya Misool	2sg	48	awa	awa	2sg-1	17	a w a
179	Ma'ya Salawati	2sg	49	awa	awa	2sg-1	17	a w a
180	Sawai (CAD)	2sg	51	aw	aw	2sg-1	17	a w
181	Sekar (ABVD)	2sg	52	o	o	2sg-1	17	o
182	Taba	2sg	54	au	au	2sg-1	17	a u
183	Wauyai	2sg	58	awa	awa	2sg-1	17	a w a
184	Waropen (held)	2sg	57	auo	auo	2sg-1	17	a u o
185	Umar	2sg	55	a(te)	a(te)	2sg-1	17	a ( t e )
186	Yaur	2sg	59	a, á'è	a	2sg-1	17	a
187	Yerisiam	2sg	60	a, àné	a	2sg-1	17	a
188	Moor	2sg	50	á	á	2sg-1	17	á
189	Warembori	2sg	56	awi	awi	2sg-1	17	a w i
190	PCEMP	3pl	67	sida	sida	3pl-1	19	s i d a
191	PMP	3pl	68	si-ida	si-ida	3pl-1	19	s ii d a
192	WAD	3pl	30	sia	sia	3pl-1	19	s i a
193	Ambai	3pl	31	ea	ea	3pl-1	19	e a
194	Ansus (P&D)	3pl	33	ya	ya	3pl-1	19	y a
195	Pom	3pl		tioru	tioru	3pl-	18	t i o r u
196	Serui-Laut (slump)	3pl	53	sa	sa	3pl-1	19	s a
197	KURUDU	3pl	69	manekripesi	manekripesi	3pl-	18	m a n e k r i p e s i
198	Biak	3pl	36	si	si	3pl-1	19	s i
199	Biak Betew (Mutus)	3pl		tko (pcl), ti/si?	tko (pcl)	3pl-	18	tko (pcl)
200	Biak Numfoor (Mandori)	3pl		sko / si?	sko / si?	3pl-	18	sko / si?
201	Roswar	3pl	70	sia	sia	3pl-	18	s i a
202	Roon	3pl		si, na	si	3pl-	18	s i
203	Dusner	3pl	39	si	si	3pl-1	19	s i
204	Arguni	3pl	34	sire	sire	3pl-1	19	s i r e
205	As (ABVD)	3pl	35	sia, sire	sia	3pl-1	19	s i a
206	Buli	3pl	38	sil(e)	sil(e)	3pl-1	19	s i l ( e )
207	Fiawat (fiawat)	3pl	40	hane	hane	3pl-40	21	h a n e
208	Gane	3pl	41	si	si	3pl-1	19	s i
209	Gebe	3pl	42	sia	sia	3pl-1	19	s i a
210	Kawe (rem)	3pl	44	si(a), ha'fat(a)	si(a)	3pl-1	19	s i ( a )
211	Kawe (rem)	3pl	44	si(a), ha'fat(a)	ha'fat(a)	3pl-2	20	h a 'f a t ( a )
212	Kowiai	3pl	45	si	si	3pl-1	19	s i
213	Laganyan	3pl	46	hia	hia	3pl-1	19	h i a
214	Irarutu (Mats)	3pl	43	ire, írə	ire	3pl-1	19	i r e
215	Ambel (rem)	3pl	32	sia	sia	3pl-1	19	s i a
216	Matbat	3pl	47	hafo²¹	hafo²¹	3pl-2	20	h a f o ²¹
217	Ma'ya Misool	3pl	48	sia	sia	3pl-1	19	s i a
218	Ma'ya Salawati	3pl	49	sia	sia	3pl-1	19	s i a
219	Sawai (CAD)	3pl	51	si	si	3pl-1	19	s i
220	Sekar (ABVD)	3pl	52	sina	sina	3pl-1	19	s i n a
221	Taba	3pl	54	si	si	3pl-1	19	s i
222	Waropen (held)	3pl	57	ki	ki	3pl-1	19	k i
223	Umar	3pl	55	ihi	ihi	3pl-1	19	i h i
224	Yaur	3pl	59	óhè	óhè	3pl-1	19	ó h è
225	Yerisiam	3pl	60	íníihí	íníihí	3pl-1	19	í n í i h í
226	Moor	3pl	50	ti'ó	ti'ó	3pl-1	19	t i 'ó
227	Warembori	3pl	56	ti	ti	3pl-1	19	t i
228	PCEMP	3sg	67	s-ia	s-ia	3sg-2	24	s i a
229	WAD	3sg	30	andi, i	andi	3sg-1	23	a n d i
230	WAD	3sg	30	andi, i	i	3sg-2	24	i
231	Ambai	3sg	31	i	i	3sg-2	24	i
232	Ansus (P&D)	3sg	33	i	i	3sg-2	24	i
233	Pom	3sg		i	i	3sg-	22	i
234	Serui-Laut (slump)	3sg	53	ia	ia	3sg-2	24	i a
235	KURUDU	3sg	69	i (wane)	i (wane)	3sg-	22	i (wane)
236	Biak	3sg	36	i	i	3sg-2	24	i
237	Biak Betew (Mutus)	3sg		i	i	3sg-	22	i
238	Biak Numfoor (Mandori)	3sg		i	i	3sg-	22	i
239	Roswar	3sg	70	i	i	3sg-	22	i
240	Roon	3sg		i, ti, ri	i	3sg-	22	i
241	Dusner	3sg	39	ndi, i	ndi	3sg-1	23	n d i
242	Dusner	3sg	39	ndi, i	i	3sg-2	24	i
243	Arguni	3sg	34	i	i	3sg-2	24	i
244	As (ABVD)	3sg	35	ia	ia	3sg-2	24	i a
245	Buli	3sg	38	i	i	3sg-2	24	i
246	Gane	3sg	41	i	i	3sg-2	24	i
247	Gebe	3sg	42	ia	ia	3sg-2	24	i a
248	Kowiai	3sg	45	i	i	3sg-2	24	i
249	Irarutu (Mats)	3sg	43	i(a)	i(a)	3sg-2	24	i ( a )
250	Ambel (rem)	3sg	32	iya	iya	3sg-2	24	i y a
251	Ma'ya Salawati	3sg	49	ak	ak	3sg-49	26	a k
252	Sawai (CAD)	3sg	51	i	i	3sg-2	24	i
253	Sekar (ABVD)	3sg	52	ia	ia	3sg-2	24	i a
254	Taba	3sg	54	i	i	3sg-2	24	i
255	Waropen (held)	3sg	57	i	i	3sg-2	24	i
256	Umar	3sg	55	ije	ije	3sg-3	25	i j e
257	Yaur	3sg	59	náràvè	náràvè	3sg-59	27	n á r à v è
258	Yerisiam	3sg	60	ìní	ìní	3sg-3	25	ì n í
259	Moor	3sg	50	î, ìjo	î	3sg-2	24	î
260	Moor	3sg	50	î, ìjo	ìjo	3sg-3	25	ì j o
261	Warembori	3sg	56	yi	yi	3sg-2	24	y i
262	PCEMP	above	67	bobo	bobo	above-1	29	b o b o
263	PMP	above	68	bawbaw	bawbaw	above-1	29	b a w b a w
264	WAD	above	30	vavo	vavo	above-1	29	v a v o
265	Ambai	above	31	aiayi	aiayi	above-31	30	a i a y i
266	Ansus (P&D)	above	33	yei	yei	above-33	32	y e i
267	Pom	above		ro wawonjei	ro wawonjei	above-33	32	ro wawonjei
268	Serui-Laut (slump)	above	53	babo	babo	above-1	29	b a b o
269	Biak	above	36	bo	bo	above-1	29	b o
270	Roon	above		bwo	bwo	above-	28	b w o
271	Arguni	above	34	apo	apo	above-1	29	a p o
272	Biga (rem)	above	37	pa|pɔwɔ	pa|pɔwɔ	above-1	29	p a| p ɔ w ɔ
273	Buli	above	38	popô	popô	above-1	29	p o p ô
274	Gane	above	41	payau	payau	above-1	29	p a y a u
275	Gebe	above	42	la-ya	la-ya	above-42	33	l a y a
276	Kowiai	above	45	féfa	féfa	above-1	29	f é f a
277	Irarutu (Mats)	above	43	adietə, fəfú	adietə	above-43	34	a d i e t ə
278	Ambel (rem)	above	32	-i	-i	above-32	31	i
279	Sekar (ABVD)	above	52	ami-nasin	ami-nasin	above-52	35	a m i n a s i n
280	Waropen (held)	above	57	[ru]bo	[ru]bo	above-1	29	[ r u ] b o
281	Umar	above	55	gan	gan	above-55	36	g a n
282	Yaur	above	59	jéhóojè	jéhóojè	above-59	37	j é h ó o j è
283	Yerisiam	above	60	áihà	áihà	above-60	38	á i h à
284	Moor	above	50	ravúana	ravúana	above-1	29	r a v ú a n a
285	WAD	adik	30	madiawi	madiawi	adik-1	40	m a d i a w i
286	Ambai	adik	31	roro-katui	roro-katui	adik-2	41	r o r o k a t u i
287	Ansus (P&D)	adik	33	mayapi	mayapi	adik-1	40	m a y a p i
288	Ansus (EG)	adik		maiya	maiya	adik-	39	m a i y a
289	Pom	adik		basar vehaho	basar vehaho	adik-	39	basar vehaho
290	Serewen	adik		neta vehaho	neta vehaho	adik-	39	neta vehaho
291	Serui-Laut (slump)	adik	53	raro	raro	adik-2	41	r a r o
292	KURUDU	adik	69	mandukri	mandukri	adik-	39	m a n d u k r i
293	Biak Betew (Mutus)	adik		trar?	trar?	adik-	39	t r a r ?
294	Roswar	adik	70	mawa?	mawa?	adik-	39	m a w a ?
295	Roon	adik		mawari	mawari	adik-	39	m a w a r i
296	Dusner	adik	39	srar	srar	adik-2	41	s r a r
297	Irarutu (Mats)	adik	43	agafùtə	agafùtə	adik-43	42	a g a f ù t ə
298	Umar	adik	55	ekbav	ekbav	adik-55	43	e k b a v
299	Yaur	adik	59	náròo'ò	náròo'ò	adik-59	44	n á r ò o 'ò
300	Yerisiam	adik	60	ráaó	ráaó	adik-2	41	r á a ó
301	Moor	adik	50	raróti	raróti	adik-2	41	r a r ó t i
302	PCEMP	afraid	67	ma-takut	ma-takut	afraid-1	46	m a t a k u t
303	PMP	afraid	68	ma-takut	ma-takut	afraid-1	46	m a t a k u t
304	WAD	afraid	30	matai	matai	afraid-1	46	m a t a i
305	Ambai	afraid	31	matai	matai	afraid-1	46	m a t a i
306	Ansus (P&D)	afraid	33	matai	matai	afraid-1	46	m a t a i
307	Ansus (EG)	afraid		matai	matai	afraid-	45	m a t a i
308	Pom	afraid		matai	matai	afraid-	45	m a t a i
309	Serui-Laut (slump)	afraid	53	maitai	maitai	afraid-1	46	m a i t a i
310	Biak	afraid	36	mkāk	mkāk	afraid-1	46	m k ā k
311	Roon	afraid		makak	makak	afraid-	45	m a k a k
312	Dusner	afraid	39	mtat	mtat	afraid-1	46	m t a t
313	Biga (rem)	afraid	37	mtat	mtat	afraid-1	46	m t a t
314	Buli	afraid	38	am-cait	am-cait	afraid-1	46	a m c a i t
315	Gebe	afraid	42	mtait	mtait	afraid-1	46	m t a i t
316	Kowiai	afraid	45	matatu	matatu	afraid-1	46	m a t a t u
317	Irarutu (Mats)	afraid	43	mta-t|e	mta-t|e	afraid-1	46	m t a t| e
318	Ambel (rem)	afraid	32	n-amcát	n-amcát	afraid-1	46	n a m c á t
319	Matbat	afraid	47	sa²¹t	sa²¹t	afraid-47	47	s a ²¹ t
320	Ma'ya Salawati	afraid	49	wa-m’ta12T	wa-m’ta12T	afraid-1	46	w a m ’ t a 12 T
321	Waropen (held)	afraid	57	akako	akako	afraid-1	46	a k a k o
322	Umar	afraid	55	mtat	mtat	afraid-1	46	m t a t
323	Yaur	afraid	59	gèé'rè	gèé'rè	afraid-59	48	g è é 'r è
324	Yerisiam	afraid	60	ngkáké	ngkáké	afraid-1	46	n g k á k é
325	Moor	afraid	50	muká'a	muká'a	afraid-1	46	m u k á 'a
326	Warembori	afraid	56	avori-o	avori-o	afraid-	45	a v o r i o
327	PMP	all	68	temu	temu	all-1	50	t e m u
328	WAD	all	30	vura	vura	all-30	53	v u r a
329	Ambai	all	31	tafau	tafau	all-31	54	t a f a u
330	Ansus (P&D)	all	33	kuira	kuira	all-33	56	k u i r a
331	Pom	all		kuira	kuira	all-	49	k u i r a
332	Biak	all	36	kàm	kàm	all-1	50	k à m
333	Roon	all		tar	tar	all-	49	t a r
334	Dusner	all	39	ndiar	ndiar	all-39	59	n d i a r
335	Arguni	all	34	fasigerig	fasigerig	all-34	57	f a s i g e r i g
336	As (ABVD)	all	35	faluʔ	faluʔ	all-35	58	f a l u ʔ
337	Biga (rem)	all	37	baʃef	baʃef	all-2	51	b a ʃ e f
338	Buli	all	38	dumi	dumi	all-3	52	d u m i
339	Fiawat (fiawat)	all	40	besih	besih	all-2	51	b e s i h
340	Gane	all	41	hadumik	hadumik	all-3	52	h a d u m i k
341	Gebe	all	42	sef	sef	all-42	60	s e f
342	Kawe (rem)	all	44	basef	basef	all-2	51	b a s e f
343	Kowiai	all	45	nabúna	nabúna	all-45	61	n a b ú n a
344	Laganyan	all	46	basef	basef	all-2	51	b a s e f
345	Irarutu (Mats)	all	43	temebe	temebe	all-1	50	t e m e b e
346	Ambel (rem)	all	32	waybeyto	waybeyto	all-32	55	w a y b e y t o
347	Matbat	all	47	batu¹²p	batu¹²p	all-2	51	b a t u ¹² p
348	Ma'ya Misool	all	48	base³f	base³f	all-2	51	b a s e ³ f
349	Ma'ya Salawati	all	49	baʃe³f	baʃe³f	all-2	51	b a ʃ e ³ f
350	Sekar (ABVD)	all	52	karagatuni	karagatuni	all-52	63	k a r a g a t u n i
351	Taba	all	54	hasole	hasole	all-54	64	h a s o l e
352	Wauyai	all	58	basef	basef	all-2	51	b a s e f
353	Waropen (held)	all	57	kai	kai	all-57	66	k a i
354	Umar	all	55	tam	tam	all-1	50	t a m
355	Yaur	all	59	dúu'rè	dúu'rè	all-59	67	d ú u 'r è
356	Yerisiam	all	60	mónìhà	mónìhà	all-60	68	m ó n ì h à
357	Moor	all	50	anu'ío	anu'ío	all-50	62	a n u 'í o
358	Warembori	all	56	pasi	pasi	all-56	65	p a s i
359	PCEMP	alone	67	kese	kese	alone-	69	k e s e
360	WAD	alone	30	mesari	mesari	alone-1	70	m e s a r i
361	Ambai	alone	31	mesiri	mesiri	alone-1	70	m e s i r i
362	Ansus (EG)	alone		mieri	mieri	alone-	69	m i e r i
363	Pom	alone		mihari	mihari	alone-	69	m i h a r i
364	KURUDU	alone	69	dereri	dereri	alone-	69	d e r e r i
365	Biak Betew (Mutus)	alone		y-emier	y-emier	alone-	69	y e m i e r
366	Biak Numfoor (Mandori)	alone		derer	derer	alone-	69	d e r e r
367	Roswar	alone	70	yayer	yayer	alone-	69	y a y e r
368	Roon	alone		mawor	mawor	alone-	69	m a w o r
369	Yaur	alone	59	náamè	náamè	alone-59	71	n á a m è
370	Yerisiam	alone	60	mángkéènè	mángkéènè	alone-60	72	m á n g k é è n è
371	WAD	also	30	kota	kota	also-1	74	k o t a
372	Ambai	also	31	kontai	kontai	also-1	74	k o n t a i
373	Ansus (P&D)	also	33	toto	toto	also-33	75	t o t o
374	Pom	also		tatou	tatou	also-	73	t a t o u
375	Dusner	also	39	sok	sok	also-39	76	s o k
376	Umar	also	55	oro	oro	also-55	78	o r o
377	Yaur	also	59	gwérrè	gwérrè	also-59	79	g w é rr è
378	Yerisiam	also	60	dòrò	dòrò	also-60	80	d ò r ò
379	Moor	also	50	re'è	re'è	also-50	77	r e 'è
380	WAD	anchor	30	kamita	kamita	anchor-1	82	k a m i t a
381	Ambai	anchor	31	kamutun	kamutun	anchor-1	82	k a m u t u n
382	Ansus (P&D)	anchor	33	kamutu	kamutu	anchor-1	82	k a m u t u
383	Ansus (EG)	anchor		kamutu	kamutu	anchor-	81	k a m u t u
384	Biak	anchor	36	kàmutu	kàmutu	anchor-1	82	k à m u t u
385	Roon	anchor		kamutu	kamutu	anchor-	81	k a m u t u
386	Laganyan	anchor	46	su	su	anchor-46	83	s u
387	Umar	anchor	55	kamutu	kamutu	anchor-1	82	k a m u t u
388	Yaur	anchor	59	àmùtùuvré	àmùtùuvré	anchor-1	82	à m ù t ù u v r é
389	Yerisiam	anchor	60	kámútúuve	kámútúuve	anchor-1	82	k á m ú t ú u v e
390	Moor	anchor	50	kamitúa	kamitúa	anchor-1	82	k a m i t ú a
391	Warembori	anchor	56	avori-o	avori-o	anchor-56	84	a v o r i o
392	PCEMP	and	67	ma	ma	and-1	86	m a
