ID	DOCULECT	CONCEPT	LANGID	VALUE	FORM	COG	COGID	TOKENS
6227	Laganyan	tail	46	ayu(o)	ayu(o)	tail-7	2182	a y u ( o )
6228	Irarutu (Mats)	tail	43	su	su	tail-43	2171	s u
6229	Ambel (rem)	tail	32	gale(y)	gale(y)	tail-1	2161	g a l e ( y )
6230	Matbat	tail	47	saba²¹ŋ	saba²¹ŋ	tail-47	2173	s a b a ²¹ ŋ
6231	Ma'ya Misool	tail	48	kayu(o)	kayu(o)	tail-7	2182	k a y u ( o )
6232	Ma'ya Salawati	tail	49	kayu(o)	kayu(o)	tail-7	2182	k a y u ( o )
6233	Sekar (ABVD)	tail	52	ikir	ikir	tail-52	2175	i k i r
6234	Taba	tail	54	kaku	kaku	tail-54	2177	k a k u
6235	Wauyai	tail	58	kayu(o)	kayu(o)	tail-7	2182	k a y u ( o )
6236	Waropen (held)	tail	57	fera	fera	tail-57	2180	f e r a
6237	Umar	tail	55	hvatun	hvatun	tail-55	2178	h v a t u n
6238	Yaur	tail	59	hévúugrè	hévúugrè	tail-55	2178	h é v ú u g r è
6239	Yerisiam	tail	60	hùrúkúa	hùrúkúa	tail-60	2181	h ù r ú k ú a
6240	Moor	tail	50	há	há	tail-50	2174	h á
6241	Warembori	tail	56	pu-ro, keere-ro	pu-ro	tail-56	2179	p u r o
6242	PMP	ten	68	PAN sa-puluq	PAN sa-puluq	ten-1	2184	PAN sa-puluq
6243	WAD	ten	30	sura	sura	ten-1	2184	s u r a
6244	Ambai	ten	31	sura	sura	ten-1	2184	s u r a
6245	Ansus (P&D)	ten	33	ura	ura	ten-1	2184	u r a
6246	Ansus (EG)	ten		ura	ura	ten-	2183	u r a
6247	Pom	ten		haura	haura	ten-	2183	h a u r a
6248	Serui-Laut (slump)	ten	53	sura	sura	ten-1	2184	s u r a
6249	KURUDU	ten	69	sur	sur	ten-	2183	s u r
6250	Biak	ten	36	sà-m-fur	sà-m-fur	ten-1	2184	s à m f u r
6251	Biak Betew (Mutus)	ten		tanfur	tanfur	ten-	2183	t a n f u r
6252	Biak Numfoor (Mandori)	ten		samfur	samfur	ten-	2183	s a m f u r
6253	Roswar	ten	70	sanfur	sanfur	ten-	2183	s a n f u r
6254	Roon	ten		safur	safur	ten-	2183	s a f u r
6255	Dusner	ten	39	sampur	sampur	ten-1	2184	s a m p u r
6256	Sawai (CAD)	ten	51	yɔfɛ-sɔ	yɔfɛ-sɔ	ten-51	2185	y ɔ f ɛ s ɔ
6257	Waropen (held)	ten	57	sauro	sauro	ten-1	2184	s a u r o
6258	Umar	ten	55	mavtedih	mavtedih	ten-55	2186	m a v t e d i h
6259	Yaur	ten	59	é'rá'é'rè	é'rá'é'rè	ten-59	2188	é 'r á 'é 'r è
6260	Yerisiam	ten	60	bàkí rúuhí	bàkí rúuhí	ten-60	2189	bàkí rúuhí
6261	Moor	ten	50	tàura	tàura	ten-1	2184	t à u r a
6262	Warembori	ten	56	wansambuto	wansambuto	ten-56	2187	w a n s a m b u t o
6263	PCEMP	that	67	ina	ina	that-2	2192	i n a
6264	PMP	that	68	ia, i-na	ia	that-1	2191	i a
6265	PMP	that	68	ia, i-na	i-na	that-2	2192	i n a
6266	WAD	that	30	yani	yani	that-30	2193	y a n i
6267	Ambai	that	31	manana	manana	that-2	2192	m a n a n a
6268	Ansus (P&D)	that	33	wani	wani	that-33	2195	w a n i
6269	Pom	that		rawani	rawani	that-	2190	r a w a n i
6270	Serui-Laut (slump)	that	53	wedani	wedani	that-53	2205	w e d a n i
6271	Biak	that	36	buro	buro	that-36	2198	b u r o
6272	Roon	that		rimu	rimu	that-	2190	r i m u
6273	Arguni	that	34	tuoto	tuoto	that-34	2196	t u o t o
6274	As (ABVD)	that	35	ifɛrɛ	ifɛrɛ	that-35	2197	i f ɛ r ɛ
6275	Biga (rem)	that	37	itana	itana	that-37	2199	i t a n a
6276	Buli	that	38	ca	ca	that-38	2200	c a
6277	Fiawat (fiawat)	that	40	teypa	teypa	that-40	2201	t e y p a
6278	Gane	that	41	tijá	tijá	that-41	2202	t i j á
6279	Gebe	that	42	tea	tea	that-41	2202	t e a
6280	Kawe (rem)	that	44	ga	ga	that-1	2191	g a
6281	Kowiai	that	45	ifá	ifá	that-35	2197	i f á
6282	Laganyan	that	46	gi(a)	gi(a)	that-1	2191	g i ( a )
6283	Irarutu (Mats)	that	43	mavi	mavi	that-43	2203	m a v i
6284	Ambel (rem)	that	32	wapa	wapa	that-32	2194	w a p a
6285	Matbat	that	47	inyo	inyo	that-2	2192	i n y o
6286	Ma'ya Misool	that	48	gia	gia	that-1	2191	g i a
6287	Ma'ya Salawati	that	49	gia	gia	that-1	2191	g i a
6288	Sekar (ABVD)	that	52	ine	ine	that-2	2192	i n e
6289	Taba	that	54	dia	dia	that-1	2191	d i a
6290	Wauyai	that	58	gi(a)	gi(a)	that-1	2191	g i ( a )
6291	Waropen (held)	that	57	aimbeani	aimbeani	that-57	2208	a i m b e a n i
6292	Umar	that	55	vte	vte	that-55	2206	v t e
6293	Yaur	that	59	jámù'è	jámù'è	that-59	2209	j á m ù 'è
6294	Yerisiam	that	60	kótà	kótà	that-60	2210	k ó t à
6295	Moor	that	50	nóna	nóna	that-50	2204	n ó n a
6296	Warembori	that	56	na-yave	na-yave	that-56	2207	n a y a v e
6297	PMP	thatched roof	68	qatep	qatep	thatched roof-2	2213	q a t e p
6298	WAD	thatched roof	30	nandau	nandau	thatched roof-1	2212	n a n d a u
6299	Ambai	thatched roof	31	antarau(n)	antarau(n)	thatched roof-2	2213	a n t a r a u ( n )
6300	Ansus (P&D)	thatched roof	33	randauŋ	randauŋ	thatched roof-1	2212	r a n d a u ŋ
6301	Pom	thatched roof		nandaun	nandaun	thatched roof-	2211	n a n d a u n
6302	Serui-Laut (slump)	thatched roof	53	ratarau	ratarau	thatched roof-1	2212	r a t a r a u
6303	Biak	thatched roof	36	òs	òs	thatched roof-36	2215	ò s
6304	Roon	thatched roof		os	os	thatched roof-	2211	o s
6305	Arguni	thatched roof	34	erar	erar	thatched roof-34	2214	e r a r
6306	Biga (rem)	thatched roof	37	sane	sane	thatched roof-37	2216	s a n e
6307	Buli	thatched roof	38	yataf	yataf	thatched roof-2	2213	y a t a f
6308	Gane	thatched roof	41	yotaf	yotaf	thatched roof-2	2213	y o t a f
6309	Gebe	thatched roof	42	yataf	yataf	thatched roof-2	2213	y a t a f
6310	Kowiai	thatched roof	45	barém	barém	thatched roof-45	2217	b a r é m
6311	Irarutu (Mats)	thatched roof	43	atífro	atífro	thatched roof-2	2213	a t í f r o
6312	Matbat	thatched roof	47	ta¹²f	ta¹²f	thatched roof-2	2213	t a ¹² f
